station_id,date,hour,day_of_week,is_weekend,demand,avg_energy,avg_power,avg_duration,avg_soc,station_num,rolling_demand_3h,rolling_demand_6h,rolling_demand_12h,demand_lag_1h,demand_lag_24h,is_morning_peak,is_evening_peak,hour_sin,hour_cos,dow_sin,dow_cos
ST01,2026-07-01,0,2,0,1,23.9,22.0,65.2,27.0,0,1.0,1.0,1.0,0.0,0.0,0,0,0.0,1.0,0.9749279121818236,-0.22252093395631434
ST01,2026-07-01,1,2,0,1,21.4,50.0,25.7,37.0,0,1.0,1.0,1.0,1.0,0.0,0,0,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434
ST01,2026-07-01,2,2,0,1,30.8,22.0,84.0,28.0,0,1.0,1.0,1.0,1.0,0.0,0,0,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434
ST01,2026-07-01,3,2,0,1,44.0,60.0,44.0,13.0,0,1.0,1.0,1.0,1.0,0.0,0,0,0.7071067811865476,0.7071067811865476,0.9749279121818236,-0.22252093395631434
ST01,2026-07-01,4,2,0,1,38.9,22.0,106.1,18.0,0,1.0,1.0,1.0,1.0,0.0,0,0,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
ST01,2026-07-01,5,2,0,1,40.0,150.0,16.0,26.0,0,1.0,1.0,1.0,1.0,0.0,0,0,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434
ST01,2026-07-01,6,2,0,1,35.5,60.0,35.5,40.0,0,1.0,1.0,1.0,1.0,0.0,0,0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434
ST01,2026-07-01,7,2,0,1,27.1,22.0,73.9,13.0,0,1.0,1.0,1.0,1.0,0.0,0,0,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434
ST01,2026-07-01,8,2,0,4,35.7,29.0,85.25,22.75,0,2.0,1.5,1.3333333333333333,1.0,0.0,1,0,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434
ST01,2026-07-01,9,2,0,4,27.05,82.5,24.475,34.25,0,3.0,2.0,1.6,4.0,0.0,1,0,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434
ST01,2026-07-01,10,2,0,4,38.625,72.5,33.875,23.25,0,4.0,2.5,1.8181818181818181,4.0,0.0,1,0,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434
ST01,2026-07-01,11,2,0,3,27.833333333333332,83.33333333333333,25.266666666666666,33.0,0,3.6666666666666665,2.8333333333333335,1.9166666666666667,4.0,0.0,0,0,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434
ST01,2026-07-01,12,2,0,3,26.099999999999998,86.66666666666667,22.46666666666667,24.0,0,3.3333333333333335,3.1666666666666665,2.0833333333333335,3.0,0.0,0,0,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434
ST01,2026-07-01,13,2,0,2,31.2,120.0,15.600000000000001,33.0,0,2.6666666666666665,3.3333333333333335,2.1666666666666665,3.0,0.0,0,0,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434
ST01,2026-07-01,14,2,0,3,27.7,80.0,23.53333333333333,31.666666666666668,0,2.6666666666666665,3.1666666666666665,2.3333333333333335,2.0,0.0,0,0,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434
ST01,2026-07-01,15,2,0,3,30.0,67.33333333333333,42.800000000000004,36.666666666666664,0,2.6666666666666665,3.0,2.5,3.0,0.0,0,0,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434
ST01,2026-07-01,16,2,0,2,25.8,120.0,12.9,33.5,0,2.6666666666666665,2.6666666666666665,2.5833333333333335,3.0,0.0,0,0,-0.8660254037844385,-0.5000000000000004,0.9749279121818236,-0.22252093395631434
ST01,2026-07-01,17,2,0,5,35.42,104.0,25.419999999999998,21.2,0,3.3333333333333335,3.0,2.9166666666666665,2.0,0.0,0,1,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434
ST01,2026-07-01,18,2,0,5,30.7,98.4,27.78,32.8,0,4.0,3.3333333333333335,3.25,5.0,0.0,0,1,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434
ST01,2026-07-01,19,2,0,5,31.920000000000005,66.0,32.92,30.6,0,5.0,3.8333333333333335,3.5833333333333335,5.0,0.0,0,1,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434
ST01,2026-07-01,20,2,0,5,27.339999999999996,82.4,28.560000000000002,35.0,0,5.0,4.166666666666667,3.6666666666666665,5.0,0.0,0,1,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434
ST01,2026-07-01,21,2,0,1,32.2,120.0,16.1,33.0,0,3.6666666666666665,3.8333333333333335,3.4166666666666665,5.0,0.0,0,0,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434
ST01,2026-07-01,22,2,0,1,37.1,150.0,14.8,18.0,0,2.3333333333333335,3.6666666666666665,3.1666666666666665,1.0,0.0,0,0,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434
ST01,2026-07-01,23,2,0,1,31.4,60.0,31.4,15.0,0,1.0,3.0,3.0,1.0,0.0,0,0,-0.25881904510252157,0.9659258262890681,0.9749279121818236,-0.22252093395631434
ST01,2026-07-02,0,3,0,1,25.8,60.0,25.8,40.0,0,1.0,2.3333333333333335,2.8333333333333335,1.0,1.0,0,0,0.0,1.0,0.43388373911755823,-0.900968867902419
ST01,2026-07-02,1,3,0,1,46.0,22.0,125.5,19.0,0,1.0,1.6666666666666667,2.75,1.0,1.0,0,0,0.25881904510252074,0.9659258262890683,0.43388373911755823,-0.900968867902419
ST01,2026-07-02,2,3,0,1,26.6,60.0,26.6,41.0,0,1.0,1.0,2.5833333333333335,1.0,1.0,0,0,0.49999999999999994,0.8660254037844387,0.43388373911755823,-0.900968867902419
ST01,2026-07-02,3,3,0,1,28.3,50.0,34.0,21.0,0,1.0,1.0,2.4166666666666665,1.0,1.0,0,0,0.7071067811865476,0.7071067811865476,0.43388373911755823,-0.900968867902419
ST01,2026-07-02,4,3,0,1,24.2,60.0,24.2,49.0,0,1.0,1.0,2.3333333333333335,1.0,1.0,0,0,0.8660254037844386,0.5000000000000001,0.43388373911755823,-0.900968867902419
ST01,2026-07-02,5,3,0,1,25.3,60.0,25.3,19.0,0,1.0,1.0,2.0,1.0,1.0,0,0,0.9659258262890683,0.25881904510252074,0.43388373911755823,-0.900968867902419
ST01,2026-07-02,6,3,0,1,27.3,60.0,27.3,40.0,0,1.0,1.0,1.6666666666666667,1.0,1.0,0,0,1.0,6.123233995736766e-17,0.43388373911755823,-0.900968867902419
ST01,2026-07-02,7,3,0,1,20.5,150.0,8.2,46.0,0,1.0,1.0,1.3333333333333333,1.0,1.0,0,0,0.9659258262890683,-0.25881904510252063,0.43388373911755823,-0.900968867902419
ST01,2026-07-02,8,3,0,4,28.700000000000003,95.0,22.375,33.25,0,2.0,1.5,1.25,1.0,4.0,1,0,0.8660254037844387,-0.4999999999999998,0.43388373911755823,-0.900968867902419
